Muestra,Latencia_ms
1,27.76
2,29.49
3,25.2
4,25.7
5,45.87
6,37.51
7,29.32
8,33.23
9,25.75
10,25.9
11,27.71
12,30.97
13,57.94
14,43.25
15,33.8
16,29.04
17,25.39
18,25.54
19,24.9
20,27.51
21,26.42
22,28.1
23,34.21
24,25.57
25,24.93
26,27.47
27,27.63
28,24.55
29,28.6
30,39.55
31,33.85
32,29.8
33,25.29
34,24.85
35,42.99
36,34.41
37,24.99
38,28.04
39,29.9
40,25.93
41,23.71
42,29.64
43,25.96
44,25.43
45,24.73
46,23.78
47,26.18
48,28.83
49,27.09
50,25.07
